"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC104260.1",3.03034886249389,-1.52756891747031,0.289327858999701,-5.27971596911408,1.29384293883161e-07,1.22931021068486e-06
"LINC00605",52.5632069201687,-1.52286691256109,0.22383770309576,-6.80344236694383,1.02148366419376e-11,2.41918453050705e-10
"RAET1L",24.2277079453012,-1.52253385605958,0.250289695749079,-6.08308644709831,1.17890741275397e-09,1.75024852545792e-08
"AC105383.1",14.5230858704659,-1.52213812638749,0.307839393378708,-4.94458525818016,7.63061412342315e-07,6.03871014250211e-06
"KRT16P1",1.09829405493381,-1.52007286935533,0.518167495606657,-2.93355504203456,0.00335104231125832,0.0101983414123353
"RAD17P1",0.62321430280586,-1.51955565278195,0.364082617369393,-4.17365614365553,2.99750057658892e-05,0.000159938599821426
"AC136475.3",1881.34767689072,-1.51112829266546,0.260215665889202,-5.8072149019225,6.35205848315027e-09,8.03622475653855e-08
"LINC02332",9.90617292346034,-1.50594791494278,0.244590563638053,-6.15701559595443,7.41285515269709e-10,1.1487541931969e-08
"ZDHHC22",1.27329610396241,-1.50352072731701,0.446950805003198,-3.3639512682078,0.000768351089263837,0.0028244123267991
"PTH1R",5965.6012665048,-1.49497038064291,0.186342276798926,-8.02271178781433,1.0343584730394e-15,5.92581356411697e-14
"CLCNKB",290.841901513739,-1.49429409100452,0.194365795340048,-7.68805071072414,1.4939360048028e-14,6.80049546649074e-13
"AP000346.2",96.2248792469356,-1.4914542644491,0.190489045122103,-7.82960649255752,4.89399306200382e-15,2.44420720853134e-13
"AL353611.2",1.81261401281825,-1.49069250387129,0.320590216534458,-4.64983778976631,3.32196194425784e-06,2.24036321012428e-05
