"","x"
"1237","KCNK13"
"1238","LINC01179"
"1239","SUSD5"
"1240",NA
"1241","FABP4"
"1242","PEG3"
"1243","TFCP2L1"
"1244","TMEM88B"
"1245","LCE1C"
"1246","FOSB"
"1247","EHD3"
"1248","ADAMTS6"
"1249","LINC01679"
"1250","SELP"
"1251",NA
"1252","LCN6"
"1253","H2AC9P"
"1254","MYCT1"
"1255","LINC02669"
"1256","NPY2R-AS1"
"1257","ADCY1"
"1258","KLHL3"
"1259","LINC01537"
"1260","SYT6"
"1261",NA
"1262","GAD1"
"1263","PLA2G12B"
"1264","PAPPA2"
"1265","CELP"
"1266",NA
"1267","LINC02139"
"1268","MGC32805"
"1269","APLNR"
"1270","SERPINA2"
"1271","SERPINC1"
"1272","GRIK2"
"1273",NA
"1274",NA
"1275","SORD"
"1276","TNS4"
"1277","NAV2-AS4"
"1278","CKM"
"1279","CPN2"
"1280","FAM242F"
"1281","SLC16A5"
"1282","FREM1"
"1283","LOC646588"
"1284","LINC00885"
"1285","LINC00200"
"1286",NA
"1287","LINC00330"
"1288","FGF7"
"1289","SPHKAP"
"1290","NTF3"
"1291","PIWIL1"
"1292","GAMTP2"
"1293",NA
"1294","PCDH11X"
"1295","FAM107A"
"1296",NA
"1297","SYP"
"1298",NA
"1299",NA
"1300","PPP2R2B"
"1301",NA
"1302","ASS1P7"
"1303","CEACAM1"
"1304","FER1L6-AS2"
"1305",NA
"1306","TIE1"
"1307","FAM205C"
"1308",NA
"1309","C2orf72"
"1310",NA
"1311",NA
"1312",NA
"1313","SLIT3"
"1314","PARM1"
"1315","LDB3"
"1316","ROBO4"
"1317","NR0B2"
"1318","AOC3"
"1319",NA
"1320","TACR1"
"1321","RGS8"
"1322","FLRT2"
"1323","ECEL1"
"1324","SCHLAP1"
"1325","EPGN"
"1326","RSPO1"
"1327","MIR200CHG"
"1328","SORD2P"
"1329","SVEP1"
"1330","NAV2-AS2"
"1331","DNASE1"
"1332",NA
"1333","DDC"
"1334",NA
"1335","MST1L"
"1336","PPP1R36"
"1337","NRXN1"
"1338",NA
"1339","FSTL4"
"1340","RCC2P8"
"1341","LINC01831"
"1342","LOC645485"
"1343",NA
"1344",NA
"1345","PTCHD3"
"1346","CHAC1"
"1347","LRRC70"
"1348","RPL17P15"
"1349","SLC25A47"
"1350","HOXD8"
"1351","ASCL3"
"1352","LINC01016"
"1353","LINC00839"
"1354","LDB2"
"1355",NA
"1356","DHH"
"1357","NUAK2"
"1358",NA
"1359","LHX1"
"1360","FREM3"
"1361","PLCXD3"
"1362",NA
"1363","CDA"
"1364","LINC00940"
"1365","ADCY4"
"1366","ERG"
"1367",NA
"1368","SCARA5"
"1369","GLTPD2"
"1370","NTRK2"
"1371","PLAC9P1"
"1372",NA
"1373","NOS3"
"1374","FAM162B"
"1375","MEI4"
"1376",NA
"1377","LOXHD1"
"1378",NA
"1379","KIF5C"
"1380","PTGS2"
"1381",NA
"1382","RUNX1T1"
"1383","MRLN"
"1384",NA
"1385",NA
"1386","GRIA2"
"1387",NA
"1388",NA
"1389","BNIP3P32"
"1390","PTPRO"
"1391",NA
"1392","CCDC178"
"1393","LINC01915"
"1394","LMOD1"
"1395",NA
"1396","ATP13A5"
"1397",NA
"1398","TNMD"
"1399","LNX1"
"1400","ENPP7P8"
"1401","BDKRB1"
"1402","LINC02292"
"1403","SLC23A3"
"1404","KHK"
"1405",NA
"1406",NA
"1407","MEOX2"
"1408",NA
"1409","CD34"
"1410","CHST6"
"1411","OR1L8"
"1412","ADORA2A-AS1"
"1413",NA
"1414","RNF186"
